chem_id,compound_class
100001233,22
100001234,8
100001235,8
100001236,8
100001237,21
100001247,30
100001250,7
100001251,30
100001252,10
100001253,11
100001254,23
100001255,11
100001256,23
100001257,11
100001258,11
100001259,24
100001260,24
100001261,11
100001262,24
100001263,30
100001264,30
100001265,23
100001266,24
100001267,27
100001268,23
100001269,7
100001270,3
100001271,3
100001272,2
100001273,28
100001274,11
100001275,9
100001276,24
100001277,13
100001278,13
100001279,8
100001280,8
100001282,8
100001283,7
100001284,21
100001285,11
100001286,8
100001287,8
100001288,8
100001289,8
100001290,13
100001292,21
100001293,23
100001294,24
100001295,28
100001296,3
100001299,26
100001300,29
100001301,27
100001302,21
100001303,17
100001304,7
100001305,27
100001306,27
100001308,28
100001309,30
100001310,14
100001311,24
100001312,29
100001313,24
100001314,24
100001315,9
100001316,28
100001317,27
100001318,0
100001320,6
100001322,21
100001324,21
100001333,27
100001334,14
100001335,13
100001337,13
100001347,1
100001348,21
100001349,1
100001350,1
100001351,7
100001352,1
100001353,1
100001354,1
100001355,21
100001356,1
100001357,21
100001358,21
100001383,3
100001384,3
100001385,23
100001386,21
100001390,29
100001391,30
100001392,30
100001393,30
100001394,30
100001395,2
100001396,9
100001397,9
100001398,9
100001399,9
100001400,9
100001401,4
100001402,14
100001403,14
100001404,9
100001405,27
100001406,19
100001407,5
100001408,26
100001409,27
100001410,24
100001411,15
100001412,1
100001413,28
100001415,28
100001416,28
100001417,23
100001418,25
100001419,6
100001420,6
100001421,20
100001422,14
100001423,20
100001424,28
100001425,28
100001426,19
100001429,5
100001430,26
100001431,26
100001432,5
100001433,13
100001434,26
100001435,13
100001436,24
100001437,24
100001438,30
100001440,28
100001443,6
100001444,13
100001445,5
100001446,28
100001447,19
100001448,6
100001449,27
100001451,15
100001452,30
100001454,4
100001455,14
100001456,9
100001457,9
100001458,6
100001461,3
100001463,31
100001464,7
100001466,28
100001467,1
100001468,28
100001469,30
100001470,26
100001471,29
100001472,13
100001473,9
100001474,1
100001476,26
100001477,14
100001481,13
100001485,24
100001491,19
100001492,6
100001495,30
100001498,6
100001500,11
100001501,30
100001502,24
100001503,27
100001506,1
100001507,4
100001508,3
100001509,3
100001510,9
100001511,30
100001514,1
100001521,24
100001522,20
100001523,20
100001526,3
100001527,4
100001528,19
100001529,18
100001531,11
100001538,20
100001539,20
100001540,24
100001541,29
100001542,20
100001544,5
100001546,27
100001548,8
100001549,4
100001550,3
100001551,2
100001552,2
100001554,2
100001555,3
100001556,2
100001557,2
100001561,3
100001562,3
100001566,2
100001567,3
100001568,3
100001569,5
100001570,13
100001571,2
100001573,15
100001574,29
100001577,11
100001578,22
100001579,26
100001580,13
100001581,29
100001582,29
100001585,6
100001586,6
100001588,30
100001589,30
100001590,30
100001591,23
100001592,30
100001593,30
100001594,30
100001595,30
100001596,30
100001597,30
100001598,30
100001601,2
100001602,8
100001604,25
100001605,9
100001606,29
100001607,31
100001609,7
100001610,7
100001611,7
100001612,11
100001613,15
100001614,15
100001615,4
100001617,15
100001618,26
100001619,24
100001620,26
100001621,28
100001622,14
100001623,10
100001624,23
100001625,7
100001626,27
100001627,6
100001628,14
100001629,27
100001630,31
100001631,20
100001632,22
100001633,22
100001634,10
100001635,3
100001636,6
100001637,5
100001638,9
100001639,9
100001640,14
100001641,29
100001642,7
100001643,28
100001644,19
100001645,11
100001648,1
100001652,3
100001654,21
100001655,21
100001657,7
100001658,7
100001662,3
100001663,23
100001664,27
100001668,19
100001670,5
100001671,5
100001672,15
100001675,20
100001677,20
100001678,14
100001679,14
100001684,20
100001685,20
100001687,21
100001688,7
100001689,21
100001691,6
100001694,28
100001695,20
100001697,13
100001698,13
100001699,4
100001700,13
100001701,4
100001703,13
100001704,13
100001705,13
100001706,31
100001707,29
100001708,29
100001709,29
100001710,29
100001712,28
100001713,1
100001714,28
100001715,27
100001716,27
100001717,10
100001718,1
100001721,6
100001723,26
100001724,27
100001725,27
100001730,26
100001731,23
100001732,23
100001734,11
100001735,8
100001736,27
100001739,13
100001740,19
100001742,30
100001743,30
100001755,9
100001756,14
100001757,25
100001760,23
100001764,10
100001765,4
100001767,14
100001768,24
100001769,11
100001771,22
100001774,7
100001777,21
100001778,21
100001782,6
100001787,10
100001788,23
100001789,7
100001790,11
100001791,25
100001793,25
100001795,19
100001797,14
100001800,10
100001802,0
100001805,26
100001806,9
100001808,9
100001810,24
100001812,21
100001813,21
100001814,21
100001815,21
100001816,28
100001817,1
100001818,6
100001819,1
100001823,6
100001824,11
100001825,1
100001827,21
100001829,27
100001843,11
100001847,27
100001851,11
100001853,9
100001856,5
100001857,2
100001858,28
